id,group,format,tone,accent,character,kind,format_held,layers_present,stacking,message_survived,overall,pass,reason,error
"solo-tone|note|sultry|-|-","solo-tone","Clean & Concise","Sultry","","","work","1","TONE:1","2","2","1","FAIL","Phrases like 'aching days' and 'it's spent, it's done' gesture at sultry but the output reads more dramatic/literary than smoldering or seductive; the tone is too restrained and businesslike to land as genuinely sultry, and the format, while structured, leans slightly verbose for Clean & Concise.",""
"solo-character|note|-|-|standup","solo-character","Clean & Concise","","","Stand-up comic","fun","1","CHARACTER:2","2","2","1","PASS","The output is genuinely funny and on-voice for a sharp club comic, but it is the opposite of clean and concise — it is deliberately verbose, riff-heavy, and padded with extended metaphors, which directly contradicts the requested tidy, structured, concise format.",""
"solo-format|email|-|-|-","solo-format","Email","","","","work","2","","2","2","2","PASS","No style layers selected; format is clean and ready-to-send email with all three points intact and clearly attributed.",""
"2L-tone+character|note|sultry|-|dramaqueen","2L-tone+character","Clean & Concise","Sultry","","Drama queen","fun","1","TONE:2;CHARACTER:2","1","2","1","FAIL","The output is verbose, theatrical, and sprawling — the opposite of tidy and concise; format was sacrificed entirely for style layering, making it unusable as a clean structured note.",""
"2L-format+character|email|-|-|standup","2L-format+character","Email","","","Stand-up comic","fun","2","CHARACTER:2","2","2","2","PASS","All three points land with names and numbers intact, the stand-up voice is sharp and consistent throughout, and the callback to the Henderson invoice at the end is a genuine bit — no meaningful weaknesses.",""
"2L-accent+character|note|-|shakespeare|villain","2L-accent+character","Clean & Concise","","Shakespearean","Cartoon villain","fun","1","ACCENT:1;CHARACTER:2","1","2","1","FAIL","Cartoon villain dominates heavily; Shakespearean accent is sparse (only 'hark,' 'hath,' 'dost' equivalents) and the output is verbose rather than clean and concise as the format demands.",""
"2L-format+tone|proposal|persuasive|-|-","2L-format+tone","Proposal","Persuasive","","","work","1","TONE:1","2","2","1","FAIL","The output is a clean bullet-style memo, not a proposal making a case; it states facts and mild justifications but never actively persuades the reader to act, commits to urgency with emotional pull, or frames the items as arguments requiring buy-in.",""
"3L-stress|note|sultry|shakespeare|dramaqueen","3L-stress","Clean & Concise","Sultry","Shakespearean","Drama queen","fun","0","TONE:2;ACCENT:2;CHARACTER:2","2","2","1","PASS","All three style layers are vivid and well-balanced, and every speaker point survives intact, but the output is a sprawling wall of theatrical prose — the opposite of clean and concise; no structure, no brevity, no tidiness whatsoever.",""
"3L-stress|note|romantic|scottish|sportscaster","3L-stress","Clean & Concise","Romantic","Scottish","Sportscaster","fun","0","TONE:2;ACCENT:2;CHARACTER:2","2","2","1","PASS","All three style layers are vivid and well-balanced, and all speaker points survive intact, but the output is the opposite of clean and concise — it is a wall of shouting, rambling prose with no structure, bullet points, or tidiness whatsoever, failing the requested format entirely.",""
"3L-stress|note|flirty|pirate|standup","3L-stress","Clean & Concise","Flirty","Pirate","Stand-up comic","fun","2","TONE:2;ACCENT:2;CHARACTER:2","2","2","2","PASS","All three layers fire cleanly and simultaneously, every speaker point survives with correct details, and the structured headers keep it concise and usable.",""
